cve_ent,cve_mun,nomgeo,name,main_category,sub_category,sub_sub_category,business_category,naics_code,sic_code,parent_chain_path,chain_uuid_path,phone,address,address2,neighborhood,city,state,postal_code,country_code,country,latitude,longitude,data_quality_confidence_score,open_closed_status,open_closed_status_confidence_score,opened_on,closed_on,popularity_score,historical_popularity_scores,sentiment_score,historical_sentiment_scores,number_of_reviews,average_stars,website,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,place_attributes,validity_score,load_date,geometry_coords,chain_name_clean,chain_classification,classification_reason
15,33,Ecatepec de Morelos,Farmacia y Dentista San Patricio,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Av. Progreso 24A,,"Manzana 007, Santa Maria Chiconautla",Ecatepec de Morelos,Estado de México,55066,mx,Mexico,19.6327,-98.9987,0.7247058823529412,open,0.3,2024-08-30,,0.001,"{""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true}",0.3,2025-11-18,POINT (-98.99872723 19.6326918),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia De Jesus,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,525551249078.0,Av. Progreso MZ 003,,Privadas de Ecatepec,Ecatepec de Morelos,Estado de México,55066,mx,Mexico,19.6272,-99.0003,0.7692411764705882,open,0.3,,,0.001,"{""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,,,,,,,,,,,,,,,"{""service_delivery"":true,""service_same_day_delivery"":true}",0.457,2025-11-18,POINT (-99.00025567 19.62716826),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,CINTIA FARMACIAS,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Av Las Flores,,Santa Maria Chiconautla,Ecatepec de Morelos,Estado de México,55066,mx,Mexico,19.6299,-98.9965,0.7591099690601775,open,0.299,2024-11-14,,0.003,"{""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0}",1.0,"{""2025-01"":1.0,""2025-02"":1.0,""2025-03"":1.0,""2025-04"":1.0,""2025-05"":1.0,""2025-06"":1.0}",1.0,5.0,,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,09:00,20:00,09:00,20:00,"{""feature_quick_visit"":true,""service_delivery"":true,""service_same_day_delivery"":true}",0.796,2025-11-18,POINT (-98.99649853 19.62994867),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia La Curva,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,,,La Fortaleza,Ecatepec de Morelos,Estado de México,50066,mx,Mexico,19.646,-98.9987,0.591570588235294,open,0.3,2024-05-01,,0.001,"{""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true}",0.225,2025-11-18,POINT (-98.99873701 19.64595456),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia De Genéricos,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Cuahutemoc MZ 015,,La Fortaleza,Ecatepec de Morelos,Estado de México,55067,mx,Mexico,19.6463,-98.9987,0.7745373033627261,open,0.304,2022-08-02,,0.006,"{""2022-12"":0.0,""2023-01"":0.0,""2023-02"":0.0,""2023-03"":0.0,""2023-04"":0.0,""2023-05"":0.0,""2023-06"":0.0,""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",1.0,"{""2022-09"":1.0,""2022-10"":1.0,""2022-11"":1.0,""2022-12"":1.0,""2023-01"":1.0,""2023-02"":1.0,""2023-03"":1.0,""2023-04"":1.0,""2023-05"":1.0,""2023-06"":1.0,""2023-07"":1.0,""2023-08"":1.0,""2023-09"":1.0,""2023-10"":1.0,""2023-11"":1.0,""2023-12"":1.0,""2024-01"":1.0,""2024-02"":1.0,""2024-03"":1.0,""2024-04"":1.0,""2024-05"":1.0,""2024-06"":1.0,""2024-07"":1.0,""2024-08"":1.0,""2024-09"":1.0,""2024-10"":1.0,""2024-11"":1.0,""2024-12"":1.0,""2025-01"":1.0,""2025-02"":1.0,""2025-03"":1.0,""2025-04"":1.0,""2025-05"":1.0,""2025-06"":1.0,""2025-07"":1.0}",1.0,5.0,,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,09:30,20:30,"{""feature_quick_visit"":true,""service_delivery"":true}",0.861,2025-11-18,POINT (-98.99865513 19.64632955),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia Coacalco cuau,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,525545548404.0,Cuahutemoc 5,,La Fortaleza,Ecatepec de Morelos,Estado de México,55067,mx,Mexico,19.6458,-98.9987,0.7053235294117647,open,0.022,,,0.006,"{""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,"{""service_delivery"":true,""service_same_day_delivery"":true}",0.634,2025-11-18,POINT (-98.9986537 19.64582605),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia del Ángel,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,527865542884.0,Cuahutemoc 8,Lt 1,La Fortaleza,Ecatepec de Morelos,Estado de México,55067,mx,Mexico,19.6482,-98.9973,0.769535294117647,open,0.302,,,0.006,"{""2023-05"":0.0,""2023-06"":0.0,""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,"{""2020-11"":0.0,""2020-12"":0.0,""2021-01"":0.0,""2021-02"":0.0,""2021-03"":0.0,""2021-04"":0.0,""2021-05"":0.0,""2021-06"":0.0,""2021-07"":0.0,""2021-08"":0.0,""2021-09"":0.0,""2021-10"":0.0,""2021-11"":0.0,""2021-12"":0.0,""2022-01"":0.0,""2022-02"":0.0,""2022-03"":0.0,""2022-04"":0.0,""2022-05"":0.0,""2022-06"":0.0,""2022-07"":0.0,""2022-08"":0.0,""2022-09"":0.0,""2022-10"":0.0,""2022-11"":0.0,""2022-12"":0.0,""2023-01"":0.0,""2023-02"":0.0,""2023-03"":0.0,""2023-04"":0.0,""2023-05"":0.0,""2023-06"":0.0,""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",0.0,0.0,https://www.heraldo.com.mx/estado-de-mexico/ecatepec-de-morelos/55067/,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,"{""feature_quick_visit"":true,""service_delivery"":true}",0.0,2025-11-18,POINT (-98.9973154 19.64816429),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Los Arcángeles Farmacia,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Cuahutemoc MZ 013,,La Fortaleza,Ecatepec de Morelos,Estado de México,55077,mx,Mexico,19.6487,-98.9957,0.7693411764705882,open,0.301,,,0.01,"{""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true,""service_delivery"":true,""service_same_day_delivery"":true}",0.538,2025-11-18,POINT (-98.99566925 19.64867424),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia Estrella,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Av Ojo de Agua MZ 039,,Las Brisas,Ecatepec de Morelos,Estado de México,55069,mx,Mexico,19.6388,-99.0114,0.7743725974803731,open,0.303,2017-12-27,,0.022,"{""2022-01"":0.0,""2022-02"":0.0,""2022-03"":0.0,""2022-04"":0.0,""2022-05"":0.0,""2022-06"":0.0,""2022-07"":0.0,""2022-08"":0.0,""2022-09"":0.0,""2022-10"":0.0,""2022-11"":0.0,""2022-12"":0.0,""2023-01"":0.0,""2023-02"":0.0,""2023-03"":0.0,""2023-04"":0.0,""2023-05"":0.0,""2023-06"":0.0,""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.005,""2025-01"":0.005,""2025-02"":0.005,""2025-03"":0.0,""2025-04"":0.005,""2025-05"":0.005,""2025-06"":0.005,""2025-07"":0.0}",1.0,"{""2021-11"":1.0,""2021-12"":1.0,""2022-01"":1.0,""2022-02"":1.0,""2022-03"":1.0,""2022-04"":1.0,""2022-05"":1.0,""2022-06"":1.0,""2022-07"":1.0,""2022-08"":1.0,""2022-09"":1.0,""2022-10"":1.0,""2022-11"":1.0,""2022-12"":1.0,""2023-01"":1.0,""2023-02"":1.0,""2023-03"":1.0,""2023-04"":1.0,""2023-05"":1.0,""2023-06"":1.0,""2023-07"":1.0,""2023-08"":1.0,""2023-09"":1.0,""2023-10"":1.0,""2023-11"":1.0,""2023-12"":1.0,""2024-01"":1.0,""2024-02"":1.0,""2024-03"":1.0,""2024-04"":1.0,""2024-05"":1.0,""2024-06"":1.0,""2024-07"":1.0,""2024-08"":1.0,""2024-09"":1.0,""2024-10"":1.0,""2024-11"":1.0,""2024-12"":1.0,""2025-01"":1.0,""2025-02"":1.0,""2025-03"":1.0,""2025-04"":1.0,""2025-05"":1.0,""2025-06"":1.0,""2025-07"":1.0}",1.0,5.0,,09:00,21:20,09:00,21:20,09:00,21:20,09:00,21:20,09:00,21:20,09:30,21:20,09:30,21:20,"{""feature_quick_visit"":true,""service_delivery"":true,""service_same_day_delivery"":true,""accommodation_wheelchair_accessible_entrance"":false}",0.928,2025-11-18,POINT (-99.01136482 19.63880914),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacias Citycenter,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Ferrocarril 4,,Las Brisas,Ecatepec de Morelos,Estado de México,55068,mx,Mexico,19.6361,-99.0101,0.7897476742031345,open,0.304,2018-07-04,,0.048,"{""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0194,""2025-01"":0.0194,""2025-02"":0.0194,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.005,""2025-07"":0.005}",0.64,"{""2023-09"":1.0,""2023-10"":1.0,""2023-11"":1.0,""2023-12"":1.0,""2024-01"":1.0,""2024-02"":1.0,""2024-03"":1.0,""2024-04"":1.0,""2024-05"":1.0,""2024-06"":1.0,""2024-07"":1.0,""2024-08"":1.0,""2024-09"":1.0,""2024-10"":1.0,""2024-11"":1.0,""2024-12"":1.0,""2025-01"":1.0,""2025-02"":1.0,""2025-03"":1.0,""2025-04"":1.0,""2025-05"":1.0,""2025-06"":0.64,""2025-07"":0.64}",4.0,4.0,http://nowserv.wixsite.com/farmaciascitycenter,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,07:00,23:00,"{""feature_quick_visit"":true,""service_delivery"":true,""payment_type_credit_card"":true}",0.949,2025-11-18,POINT (-99.01010565 19.63612055),,independent,"No chain tag, no chain-like name pattern"
